                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.84998,                0.80627,                0.95594,                0.98159,                      1,                  0.995,                0.75933,                0.93546,                0.74655,                 1.0512,              0.0010481,              0.0010481,              0.0010481
                     77,                0.84166,                0.77819,                 1.0187,                0.98288,                      1,                  0.995,                  0.756,                0.93283,                0.71876,                 1.0469,              0.0010399,              0.0010399,              0.0010399
                     78,                0.84784,                  0.837,                0.92851,                0.98479,                      1,                  0.995,                0.75614,                0.92645,                0.69476,                 1.0419,              0.0010316,              0.0010316,              0.0010316
                     79,                0.75565,                0.73172,                0.93748,                0.98942,                      1,                  0.995,                 0.7779,                 0.8545,                0.68069,                 1.0303,              0.0010234,              0.0010234,              0.0010234
                     80,                0.92373,                0.79797,                0.95937,                0.98338,                      1,                  0.995,                0.73339,                0.94073,                0.74045,                 1.0588,              0.0010151,              0.0010151,              0.0010151
                     81,                0.88457,                0.78014,                0.97012,                0.98202,                      1,                  0.995,                0.75194,                0.89902,                0.74616,                 1.0476,              0.0010069,              0.0010069,              0.0010069
                     82,                0.83134,                0.78504,                0.93914,                 0.9812,                      1,                  0.995,                0.77037,                0.92054,                0.74557,                 1.0464,             0.00099862,             0.00099862,             0.00099862
                     83,                0.83017,                0.77233,                0.94937,                0.98514,                      1,                  0.995,                0.77064,                0.92126,                0.71505,                 1.0433,             0.00099036,             0.00099036,             0.00099036
                     84,                0.83461,                0.78018,                 1.0079,                0.99278,                      1,                  0.995,                0.77177,                0.87904,                0.70536,                 1.0341,             0.00098211,             0.00098211,             0.00098211
                     85,                0.82607,                0.78897,                0.97603,                0.99336,                      1,                  0.995,                0.74339,                0.98339,                0.72213,                 1.0406,             0.00097386,             0.00097386,             0.00097386
                     86,                0.91196,                0.74665,                 1.0068,                0.99488,                      1,                  0.995,                0.75373,                0.94488,                0.70773,                 1.0296,             0.00096561,             0.00096561,             0.00096561
