                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.6596,                 1.6855,                 1.0393,                0.93879,                0.85621,                0.88457,                0.50757,                 1.4665,                 1.2993,                 1.0022,              0.0011802,              0.0011802,              0.0011802
                     62,                  1.552,                  1.622,                 1.0073,                0.94954,                0.85621,                0.88283,                0.53396,                 1.5027,                 1.2368,                 1.0274,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.6606,                 1.4937,                 1.0129,                 0.9228,                0.79902,                0.83899,                0.50895,                 1.4463,                 1.2947,                 1.0038,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.5317,                 1.5815,                0.96185,                0.95389,                0.79758,                 0.8577,                0.48224,                 1.4955,                 1.3299,                 1.0106,              0.0011554,              0.0011554,              0.0011554
                     65,                 1.6329,                 1.8953,                0.98299,                0.94032,                0.79724,                0.86295,                0.46429,                 1.4778,                  1.357,                 1.0141,              0.0011471,              0.0011471,              0.0011471
                     66,                 1.5108,                  1.421,                0.97857,                0.96808,                0.82057,                0.87545,                0.53246,                 1.4212,                 1.3268,                 1.0188,              0.0011389,              0.0011389,              0.0011389
                     67,                 1.5591,                 1.5215,                0.98683,                 0.9048,                 0.8153,                0.85306,                0.51318,                 1.4214,                 1.3146,                 1.0117,              0.0011306,              0.0011306,              0.0011306
                     68,                 1.4793,                 1.5736,                0.96326,                0.94479,                0.85072,                0.88222,                0.52651,                 1.4081,                 1.2443,                0.99946,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.4328,                 1.4244,                 1.0158,                0.98216,                0.85621,                0.89669,                0.53706,                 1.4466,                 1.2321,                 1.0105,              0.0011141,              0.0011141,              0.0011141
                     70,                 1.4767,                 1.4446,                0.97521,                0.98895,                0.85621,                0.89326,                0.53844,                 1.4037,                 1.2702,                 1.0018,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.5973,                 1.5866,                0.96382,                0.95805,                 0.8268,                0.87467,                0.51895,                 1.4184,                 1.2857,                0.99574,              0.0010976,              0.0010976,              0.0010976
                     72,                 1.6771,                 1.5681,                 1.0171,                0.91931,                0.76961,                0.85151,                0.51177,                 1.4479,                 1.2876,                 1.0011,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.5626,                 1.4179,                  1.016,                0.98633,                0.82843,                0.88778,                  0.564,                 1.3561,                 1.3185,                 1.0037,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.6136,                 1.5056,                0.94123,                0.98438,                0.82843,                0.88674,                0.55848,                 1.3153,                 1.3118,                0.99259,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.4643,                 1.5234,                0.95785,                0.98843,                0.85213,                0.89089,                0.53793,                 1.3617,                 1.2621,                0.99094,              0.0010646,              0.0010646,              0.0010646
                     76,                 1.6085,                 1.4921,                0.97481,                 0.9921,                0.85621,                0.89505,                0.55098,                 1.2987,                 1.1943,                0.96847,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.4835,                  1.361,                 1.0104,                0.98641,                 0.8782,                0.89822,                0.58952,                 1.3058,                 1.1814,                0.97388,              0.0010481,              0.0010481,              0.0010481
                     78,                 1.3797,                 1.3777,                0.92881,                0.98771,                0.87874,                0.89901,                 0.5732,                 1.3495,                 1.2287,                0.98459,              0.0010399,              0.0010399,              0.0010399
                     79,                 1.4323,                 1.3885,                 0.9279,                0.95409,                0.84978,                0.88981,                0.54244,                  1.366,                 1.2559,                0.98358,              0.0010316,              0.0010316,              0.0010316
                     80,                  1.546,                 1.5547,                 1.0363,                0.98924,                0.87683,                0.89693,                 0.5377,                 1.3591,                 1.2744,                 0.9868,              0.0010234,              0.0010234,              0.0010234
                     81,                 1.5095,                 1.6153,                0.93235,                0.99283,                0.85126,                0.89444,                0.53873,                 1.3448,                 1.2615,                0.98245,              0.0010151,              0.0010151,              0.0010151
                     82,                  1.454,                 1.3415,                0.96068,                0.95249,                0.80065,                0.85545,                0.51382,                 1.3741,                 1.2508,                 0.9828,              0.0010069,              0.0010069,              0.0010069
                     83,                 1.5503,                 1.4486,                0.97124,                0.95612,                0.80065,                0.85175,                0.48624,                 1.4913,                 1.2838,                0.99589,             0.00099862,             0.00099862,             0.00099862
                     84,                  1.467,                 1.4223,                0.95526,                0.95729,                0.80065,                0.86296,                0.51834,                 1.4128,                 1.2465,                0.98161,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.4951,                 1.4498,                0.94914,                0.96587,                0.85104,                0.88779,                0.55237,                 1.3436,                 1.2385,                0.97531,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.5256,                 1.3432,                0.96504,                0.99655,                0.88057,                0.90205,                0.56969,                 1.3426,                 1.2344,                0.98204,             0.00097386,             0.00097386,             0.00097386
                     87,                 1.4754,                 1.3564,                0.94867,                0.98762,                0.87886,                0.90586,                0.55994,                 1.3723,                  1.214,                 0.9838,             0.00096561,             0.00096561,             0.00096561
                     88,                  1.403,                 1.3189,                0.94185,                0.99056,                0.85621,                0.90138,                0.54201,                  1.422,                 1.2084,                0.98867,             0.00095736,             0.00095736,             0.00095736
                     89,                   1.55,                 1.3921,                0.96851,                0.98639,                0.85582,                0.90043,                0.57978,                 1.3666,                  1.197,                0.98821,             0.00094911,             0.00094911,             0.00094911
                     90,                 1.2964,                 1.2888,                 0.9686,                0.98552,                 0.8533,                0.90102,                0.60749,                 1.3002,                  1.178,                0.98976,             0.00094085,             0.00094085,             0.00094085
                     91,                 1.4014,                 1.2963,                0.94526,                0.98671,                0.85185,                0.89968,                0.60037,                 1.3019,                 1.1904,                0.98815,              0.0009326,              0.0009326,              0.0009326
